TCONS_00000284 SLC25A34
TCONS_00000293 FBLIM1
TCONS_00000298 SPEN
TCONS_00000299 RP11-5P18.1
TCONS_00000301 SZRD1
TCONS_00000302 SZRD1
TCONS_00000303 SZRD1
TCONS_00000305 SZRD1
TCONS_00000306 SZRD1
TCONS_00000307 NECAP2
TCONS_00000308 NECAP2
TCONS_00000309 NECAP2
TCONS_00000310 NECAP2
TCONS_00000311 NECAP2
TCONS_00000312 NECAP2
TCONS_00000314 RP4-798A10.7
TCONS_00000315 RP5-1182A14.5
TCONS_00000316 RNU1-4
TCONS_00000317 RP11-108M9.5
TCONS_00000318 RNU1-2
TCONS_00000320 CROCC
TCONS_00000324 ARHGEF10L
TCONS_00000325 ARHGEF10L
TCONS_00000327 ARHGEF10L
TCONS_00000328 RP1-43E13.2
TCONS_00000329 MRTO4
TCONS_00000330 PQLC2
TCONS_00000331 PQLC2
TCONS_00000332 PQLC2
TCONS_00000333 RN7SL277P
TCONS_00000334 MINOS1
TCONS_00000335 MINOS1
TCONS_00000336 MINOS1
TCONS_00000337 RP5-1056L3.3
TCONS_00000338 NBL1
TCONS_00000339 OTUD3
TCONS_00000341 PLA2G5
TCONS_00000343 PLA2G5
TCONS_00000345 PLA2G5
TCONS_00000347 PLA2G2F
TCONS_00000348 PLA2G2F
TCONS_00000349 UBXN10
TCONS_00000350 CDA
TCONS_00000351 CDA
TCONS_00000352 PINK1
TCONS_00000354 HS6ST1P1
TCONS_00000355 NBPF3
TCONS_00000356 NBPF3
TCONS_00000357 NBPF3
TCONS_00000360 ALPL
TCONS_00000361 RP11-132G19.3
TCONS_00000362 RP11-26H16.1
TCONS_00000363 LINC00339
TCONS_00000365 CDC42
TCONS_00000366 CDC42
TCONS_00000367 CDC42
TCONS_00000368 CDC42
TCONS_00000370 CDC42
TCONS_00000371 RP1-224A6.9
TCONS_00000372 ZBTB40
TCONS_00000373 ZBTB40
TCONS_00000374 ZBTB40
TCONS_00000375 C1QA
TCONS_00000377 C1QA
TCONS_00000378 C1QA
TCONS_00000380 C1QC
TCONS_00000381 C1QC
TCONS_00000382 C1QC
TCONS_00000383 C1QB
TCONS_00000384 C1QB
TCONS_00000385 EPHB2
TCONS_00000386 EPHB2
TCONS_00000388 EPHB2
TCONS_00000389 KDM1A
TCONS_00000392 KDM1A
TCONS_00000393 RP5-979D14.1
TCONS_00000394 ZNF436-AS1
TCONS_00000395 ZNF436-AS1
TCONS_00000396 RPL11
TCONS_00000398 RPL11
TCONS_00000399 RPL11
TCONS_00000400 RPL11
TCONS_00000401 ELOA
